0    [main] INFO  2010-03-09 14:20:07,171 org.epzilla.leader.EpzillaNodeInitiator  - Deploying RMI Services in:192.168.1.63
203  [main] INFO  2010-03-10 02:17:25,339 org.epzilla.leader.EpzillaNodeInitiator  - RMI Services deployied. Initializing start up sequence.
21218 [main] INFO  2010-03-10 02:17:46,354 org.epzilla.leader.EpzillaNodeInitiator  - Cannot connect to the default node.
0    [main] INFO  2010-03-10 02:18:13,854 org.epzilla.leader.EpzillaNodeInitiator  - Configuration loaded and ready to initialize
16   [main] INFO  2010-03-10 02:18:13,870 org.epzilla.leader.EpzillaNodeInitiator  - Deploying RMI Services in:192.168.1.63
329  [main] INFO  2010-03-10 02:18:14,183 org.epzilla.leader.EpzillaNodeInitiator  - RMI Services deployied. Initializing start up sequence.
51297 [main] INFO  2010-03-10 02:19:05,151 org.epzilla.leader.EpzillaNodeInitiator  - Cannot connect to the default node.
0    [main] INFO  2010-03-10 13:14:09,390 org.epzilla.leader.EpzillaNodeInitiator  - Configuration loaded and ready to initialize
31   [main] INFO  2010-03-10 13:14:09,421 org.epzilla.leader.EpzillaNodeInitiator  - Deploying RMI Services in:10.201.50.236
406  [main] INFO  2010-03-10 13:14:09,796 org.epzilla.leader.EpzillaNodeInitiator  - RMI Services deployied. Initializing start up sequence.
21313 [main] INFO  2010-03-10 13:14:30,703 org.epzilla.leader.EpzillaNodeInitiator  - Cannot connect to the default node.
0    [main] INFO  2010-03-10 13:15:37,703 org.epzilla.leader.EpzillaNodeInitiator  - Configuration loaded and ready to initialize
15   [main] INFO  2010-03-10 13:15:37,718 org.epzilla.leader.EpzillaNodeInitiator  - Deploying RMI Services in:10.201.50.236
234  [main] INFO  2010-03-10 13:15:37,937 org.epzilla.leader.EpzillaNodeInitiator  - RMI Services deployied. Initializing start up sequence.
21203 [main] INFO  2010-03-10 13:15:58,906 org.epzilla.leader.EpzillaNodeInitiator  - Cannot connect to the default node.
0    [main] INFO  2010-03-10 15:16:12,328 org.epzilla.leader.EpzillaNodeInitiator  - Configuration loaded and ready to initialize
15   [main] INFO  2010-03-10 15:16:12,343 org.epzilla.leader.EpzillaNodeInitiator  - Deploying RMI Services in:10.201.50.236
1265 [main] INFO  2010-03-10 15:16:13,593 org.epzilla.leader.EpzillaNodeInitiator  - RMI Services deployied. Initializing start up sequence.
22234 [main] INFO  2010-03-10 15:16:34,562 org.epzilla.leader.EpzillaNodeInitiator  - Cannot connect to the default node.
0    [main] INFO  2010-03-10 15:30:16,296 org.epzilla.leader.EpzillaNodeInitiator  - Configuration loaded and ready to initialize
0    [main] INFO  2010-03-10 15:30:16,296 org.epzilla.leader.EpzillaNodeInitiator  - Deploying RMI Services in:10.201.50.236
235  [main] INFO  2010-03-10 15:30:16,531 org.epzilla.leader.EpzillaNodeInitiator  - RMI Services deployied. Initializing start up sequence.
21172 [main] INFO  2010-03-10 15:30:37,468 org.epzilla.leader.EpzillaNodeInitiator  - Cannot connect to the default node.
0    [main] INFO  2010-03-10 15:41:42,343 org.epzilla.leader.EpzillaNodeInitiator  - Configuration loaded and ready to initialize
0    [main] INFO  2010-03-10 15:41:42,343 org.epzilla.leader.EpzillaNodeInitiator  - Deploying RMI Services in:10.201.50.236
297  [main] INFO  2010-03-10 15:41:42,640 org.epzilla.leader.EpzillaNodeInitiator  - RMI Services deployied. Initializing start up sequence.
21219 [main] INFO  2010-03-10 15:42:03,562 org.epzilla.leader.EpzillaNodeInitiator  - Cannot connect to the default node.
0    [main] INFO  2010-03-10 15:43:55,046 org.epzilla.leader.EpzillaNodeInitiator  - Configuration loaded and ready to initialize
16   [main] INFO  2010-03-10 15:43:55,062 org.epzilla.leader.EpzillaNodeInitiator  - Deploying RMI Services in:10.201.50.236
250  [main] INFO  2010-03-10 15:43:55,296 org.epzilla.leader.EpzillaNodeInitiator  - RMI Services deployied. Initializing start up sequence.
250  [main] INFO  2010-03-10 15:43:55,296 org.epzilla.leader.EpzillaNodeInitiator  - No STM is present in the cluster. Launching the leader election since this is the default server.
21188 [main] INFO  2010-03-10 15:44:16,234 org.epzilla.leader.EpzillaNodeInitiator  - UID message not delivered. Trying again.
